ID,Name,Price,"Quantity on Hand"
641,"Lion gold Bed",$389.99,9
642,"Safety yellow Bench",$114.99,100
643,"Ocean Blue Daybed",$311.99,63
644,"June bud Dining Table",$800,65
645,"Pale cerulean Stool",$54.99,28
646,"Spanish red Sofa",$649.99,86
647,"Arylide yellow End Table",$39.99,25
648,"Medium violet-red Crib",$289,44
649,"Gray Crib",$289,85
650,"Maya blue Plant Stand",$42.99,24
651,"Dogwood rose Dresser",$699.99,71
652,"Black Sectional","$1,039.99",25
653,"Mango Tango Sleeper Sofa","$1,279.99",91
654,"United Nations blue Headboard",$222.99,76
655,"Yale Blue Nightstand",$81.99,72
656,"Picotee blue Nightstand",$81.99,86
657,"French mauve End Table",$39.99,48
658,"Tumbleweed brown End Table",$39.99,47
659,"Tiffany Blue Stool",$54.99,3
660,"Mustard yellow Sectional","$1,039.99",23
661,"Mandarin Crib",$289,13
662,"Cornell red Dresser",$699.99,99
663,"Metallic gold Daybed",$311.99,27
664,"English red Headboard",$222.99,69
665,"Blood red Loveseat",$269.99,47
666,"Air superiority blue Plant Stand",$42.99,40
667,"Maximum blue purple Sleeper Sofa","$1,279.99",50
668,"Fandango pink Coffee Table",$200,20
669,"Golden poppy Daybed",$311.99,14
670,"Jasmine Daybed",$311.99,74
671,"Prussian blue Plant Stand",$42.99,35
672,"Blue-green Bed",$389.99,71
673,"Russian green Futon",$219.99,6
674,"Raspberry Sleeper Sofa","$1,279.99",33
675,"Green Lizard Dining Table",$800,60
676,"Brown sugar End Table",$39.99,3
677,"Old burgundy Sofa",$649.99,56
678,"Prune Reclining Sofa","$1,119.99",100
679,"Sunset Reclining Sofa","$1,119.99",47
680,"Burnt orange End Table",$39.99,40
681,"Cocoa brown Loveseat",$269.99,19
682,"Burgundy Dresser",$699.99,11
683,"Corn Futon",$219.99,17
684,"Neon blue Dresser",$699.99,19
685,"Big dip o’ruby Storage Bench",$194.99,5
686,"Rose Reclining Sofa","$1,119.99",10
687,"Barn red Dining Chair",$89.99,74
688,"Sonic silver Storage Bench",$194.99,91
689,"Cobalt blue Storage Bench",$194.99,99
690,"Celadon green Bed",$389.99,19
691,"Aero blue Sleeper Sofa","$1,279.99",93
692,"Jazzberry jam Plant Stand",$42.99,16
693,"YInMn Blue Plant Stand",$42.99,26
694,"Cornell red Sofa",$649.99,36
695,"Dark spring green Sectional","$1,039.99",26
696,"Blue bell Daybed",$311.99,97
697,"Rose taupe Wardrobe",$719.99,38
698,"Persian red Crib",$289,33
699,"Mauve Loveseat",$269.99,50
700,"Pine tree Dresser",$699.99,7
701,"Maximum blue purple Futon",$219.99,67
702,"India green Loveseat",$269.99,71
703,"Cosmic latte End Table",$39.99,62
704,"Chinese yellow Bed",$389.99,55
705,"Mahogany Ottoman",$52.99,4
706,"Quick Silver Headboard",$222.99,81
707,"Cyber grape Reclining Loveseat","$1,023.99",65
708,"Deep Space Sparkle Dining Chair",$89.99,80
709,"Pearly purple End Table",$39.99,22
710,"Vermilion Storage Bench",$194.99,91
711,"Ivory Coffee Table",$200,57
712,"Spanish gray Wardrobe",$719.99,89
713,"Dark sky blue Storage Bench",$194.99,20
714,"Cornell red Reclining Sofa","$1,119.99",24
715,"Fluorescent blue Ottoman",$52.99,42
716,"Tart Orange Dining Table",$800,91
717,"Cadet grey End Table",$39.99,17
718,"Pastel pink Plant Stand",$42.99,40
719,"Mikado yellow Reclining Loveseat","$1,023.99",16
720,"Maya blue Chaise Lounge",$235.99,12
721,"Bottle green Sleeper Sofa","$1,279.99",74
722,"Light yellow Chaise Lounge",$235.99,60
723,"Mantis green Reclining Sofa","$1,119.99",22
724,"Wild orchid Daybed",$311.99,53
725,"Slate gray Crib",$289,32
726,"Spanish orange End Table",$39.99,81
727,"Bottle green Sofa",$649.99,61
728,"Black bean Daybed",$311.99,41
729,"Chinese violet Chaise Lounge",$235.99,47
730,"Fuchsia Plant Stand",$42.99,50
731,"Midnight green Chaise Lounge",$235.99,41
732,"Teal blue Ottoman",$52.99,47
733,"Silver chalice Stool",$54.99,83
734,"Barn red Sleeper Sofa","$1,279.99",98
735,"Dark orchid Bed",$389.99,94
736,"Cameo pink Bed",$389.99,27
737,"Blue jeans Daybed",$311.99,18
738,"Navajo white Futon",$219.99,85
739,"African violet Loveseat",$269.99,86
740,"Platinum Daybed",$311.99,89
741,"Imperial red Chaise Lounge",$235.99,20
742,"Celtic blue Coffee Table",$200,89
743,"French raspberry Futon",$219.99,77
744,"Indian red Plant Stand",$42.99,55
745,"Violet-blue Plant Stand",$42.99,20
746,"Silver chalice Sleeper Sofa","$1,279.99",64
747,"Chinese violet Storage Bench",$194.99,51
748,"Maximum green Dining Chair",$89.99,70
749,"Paris Green Sleeper Sofa","$1,279.99",93
750,"June bud Bed",$389.99,59
751,"Fire engine red Stool",$54.99,78
752,"Persian red Bed",$389.99,46
753,"Silver Wardrobe",$719.99,31
754,"Mountbatten pink Storage Bench",$194.99,9
755,"Windsor tan Daybed",$311.99,10
756,"Electric indigo Bed",$389.99,19
757,"Thistle grey Chaise Lounge",$235.99,81
758,"Shiny Shamrock Dresser",$699.99,30
759,"Papaya whip Ottoman",$52.99,63
760,"Emerald Stool",$54.99,60
761,"Rosy brown Ottoman",$52.99,59
762,"Green Sheen Stool",$54.99,3
763,"Chrome yellow Crib",$289,9
764,"Medium aquamarine Storage Bench",$194.99,41
765,"Deep sky blue Sleeper Sofa","$1,279.99",59
766,"Light goldenrod yellow Bench",$114.99,88
767,"Bleu de France Sleeper Sofa","$1,279.99",49
768,"Palatinate purple Nightstand",$81.99,18
769,"French lilac Dining Table",$800,5
770,"Indigo dye Sofa",$649.99,88
771,"Winter Sky Sectional","$1,039.99",4
772,"Sonic silver Bench",$114.99,81
773,"Olive Drab Dresser",$699.99,2
774,"Blizzard blue Dining Chair",$89.99,80
775,"Silver sand Ottoman",$52.99,14
776,"Auburn Sofa",$649.99,92
777,"Periwinkle Ottoman",$52.99,77
778,"Light gray Sofa",$649.99,90
779,"Dark magenta Plant Stand",$42.99,43
780,"Vivid sky blue Storage Bench",$194.99,95
781,"Celadon blue Loveseat",$269.99,1
782,"Razzle dazzle rose Storage Bench",$194.99,78
783,"Majorelle blue Crib",$289,32
784,"Celadon blue Loveseat",$269.99,19
785,"Electric violet Daybed",$311.99,78
786,"Cadet blue Crib",$289,45
787,"Citron Chaise Lounge",$235.99,97
788,"Blanched almond Stool",$54.99,44
789,"Carolina blue Dresser",$699.99,2
790,"Wheat gold Crib",$289,34
791,"Black coffee End Table",$39.99,92
792,"Ash gray Bench",$114.99,17
793,"Cocoa brown Dining Chair",$89.99,24
794,"Wine red Sofa",$649.99,87
795,"Candy apple red Wardrobe",$719.99,79
796,"Shadow blue Ottoman",$52.99,28
797,"Dark slate gray Sectional","$1,039.99",73
798,"Majorelle blue End Table",$39.99,35
799,"Unmellow yellow Dresser",$699.99,32
800,"Light green Headboard",$222.99,79
801,"Cornsilk Reclining Loveseat","$1,023.99",61
802,"Dark electric blue Wardrobe",$719.99,42
803,"Vivid sky blue Headboard",$222.99,77
804,"Jet Reclining Loveseat","$1,023.99",10
805,"Salmon Stool",$54.99,37
806,"USAFA blue Dining Chair",$89.99,25
807,"Bluetiful Crib",$289,50
808,"Mauvelous Chaise Lounge",$235.99,26
809,"Rojo Spanish red Chaise Lounge",$235.99,12
810,"Picotee blue Loveseat",$269.99,78
811,"School Bus Yellow Sectional","$1,039.99",96
812,"Manatee grey Plant Stand",$42.99,90
813,"Spanish orange Headboard",$222.99,88
814,"Rubine red Ottoman",$52.99,77
815,"Android green Daybed",$311.99,90
816,"Cerulean Wardrobe",$719.99,53
817,"Silver chalice Bed",$389.99,73
818,"Bluetiful Daybed",$311.99,27
819,"Sacramento State green Bench",$114.99,46
820,"Umber Headboard",$222.99,42
821,"Rose vale Sectional","$1,039.99",17
822,"Mandarin Crib",$289,82
823,"Medium sea green Dining Table",$800,86
824,"Spanish blue Storage Bench",$194.99,91
825,"Heliotrope gray Sleeper Sofa","$1,279.99",11
826,"Cyber grape Reclining Loveseat","$1,023.99",74
827,"Wild watermelon Dining Table",$800,38
828,"Ghost white Reclining Sofa","$1,119.99",45
829,"Brown sugar Futon",$219.99,64
830,"Blood red Dining Chair",$89.99,89
831,"Orchid Reclining Loveseat","$1,023.99",32
832,"Orange Dining Chair",$89.99,36
833,"Onyx Storage Bench",$194.99,51
834,"Lavender blue Sleeper Sofa","$1,279.99",15
835,"Dark olive green Bench",$114.99,45
836,"Old lace Crib",$289,58
837,"Columbia Blue End Table",$39.99,33
838,"Antique ruby Headboard",$222.99,36
839,"Vivid sky blue Reclining Loveseat","$1,023.99",85
840,"Maximum red Headboard",$222.99,73
841,"Deep sky blue Wardrobe",$719.99,33
842,"Syracuse Orange Plant Stand",$42.99,37
843,"Caribbean green Plant Stand",$42.99,3
844,"Coffee Wardrobe",$719.99,65
845,"Trypan Blue Reclining Sofa","$1,119.99",23
846,"Dark sea green Dresser",$699.99,75
847,"Columbia Blue Sleeper Sofa","$1,279.99",25
848,"Blast-off bronze Dining Chair",$89.99,29
849,"Dark cornflower blue Stool",$54.99,40
850,"Falu red Ottoman",$52.99,48
851,"Pictorial carmine Sleeper Sofa","$1,279.99",21
852,"Upsdell red Sectional","$1,039.99",47
853,"Japanese violet Reclining Loveseat","$1,023.99",51
854,"Shadow grey Dresser",$699.99,89
855,"Rose taupe Bench",$114.99,5
856,"Shocking pink Sectional","$1,039.99",16
857,"Pale purple Sofa",$649.99,15
858,"Yellow Sunshine End Table",$39.99,34
859,"Trypan Blue Storage Bench",$194.99,47
860,"Princeton orange Loveseat",$269.99,59
861,"Chestnut Bench",$114.99,55
862,"Shadow blue Nightstand",$81.99,16
863,"MSU green Wardrobe",$719.99,77
864,"Moss green Headboard",$222.99,16
865,"Tuscan tan Storage Bench",$194.99,43
866,"Ocean Blue Dresser",$699.99,23
867,"Raspberry rose Dining Chair",$89.99,29
868,"Carnation pink Storage Bench",$194.99,51
869,"Pink lace Sectional","$1,039.99",33
870,"UA red Bed",$389.99,58
871,"MSU green Wardrobe",$719.99,26
872,"Spanish blue Dining Table",$800,70
873,"Seashell Sleeper Sofa","$1,279.99",98
874,"Medium turquoise Storage Bench",$194.99,73
875,"Spanish orange Bed",$389.99,25
876,"Cadet grey Sleeper Sofa","$1,279.99",4
877,"Maximum purple Chaise Lounge",$235.99,25
878,"Cosmic latte Futon",$219.99,83
879,"Copper rose End Table",$39.99,3
880,"Mint green Coffee Table",$200,1
881,"Medium sea green Crib",$289,52
882,"Deep taupe Plant Stand",$42.99,0
883,"Cambridge blue Wardrobe",$719.99,58
884,"Electric purple Sleeper Sofa","$1,279.99",94
885,"Han purple Wardrobe",$719.99,10
886,"Electric lime Sleeper Sofa","$1,279.99",29
887,"Peach puff Wardrobe",$719.99,54
888,"Dark blue-gray Plant Stand",$42.99,13
889,"Cosmic cobalt Nightstand",$81.99,7
890,"Rose bonbon Futon",$219.99,28
891,"Blond Chaise Lounge",$235.99,84
892,"Lime End Table",$39.99,24
893,"Old gold Nightstand",$81.99,25
894,"Lemon Chaise Lounge",$235.99,10
895,"Medium slate blue Sleeper Sofa","$1,279.99",18
896,"Turquoise Sofa",$649.99,56
897,"Electric violet Crib",$289,94
898,"Medium aquamarine Plant Stand",$42.99,81
899,"Mellow apricot Reclining Loveseat","$1,023.99",26
900,"Electric violet Reclining Loveseat","$1,023.99",77
901,"Pale silver Chaise Lounge",$235.99,44
902,"Columbia Blue Plant Stand",$42.99,35
903,"Mauvelous Bench",$114.99,79
904,"Artichoke Sleeper Sofa","$1,279.99",33
905,"Non-photo blue Ottoman",$52.99,60
906,"Yellow Daybed",$311.99,21
907,"Winter Sky Dining Table",$800,32
908,"India green Crib",$289,17
909,"Cinnabar Coffee Table",$200,23
910,"Light cyan Dining Chair",$89.99,10
911,"Steel blue Nightstand",$81.99,52
912,"Light sea green Storage Bench",$194.99,66
913,"Blue-green Futon",$219.99,7
914,"Light green Daybed",$311.99,92
915,"Light sky blue Stool",$54.99,11
916,"Raw umber Sleeper Sofa","$1,279.99",75
917,"Cerulean blue Ottoman",$52.99,99
918,"Pale pink Nightstand",$81.99,39
919,"MSU green Dining Table",$800,34
920,"Maximum yellow red Bed",$389.99,90
921,"Celtic blue Reclining Loveseat","$1,023.99",43
922,"Fire opal Wardrobe",$719.99,16
923,"Falu red Wardrobe",$719.99,74
924,"Medium blue Reclining Sofa","$1,119.99",31
925,"Pine tree Futon",$219.99,28
926,"Phthalo green Chaise Lounge",$235.99,83
927,"Dark olive green Stool",$54.99,71
928,"French violet Coffee Table",$200,76
929,"French mauve Bench",$114.99,21
930,"Burlywood Reclining Sofa","$1,119.99",5
931,"Mauve taupe Crib",$289,8
932,"Vivid violet Dining Table",$800,90
933,"Lemon meringue Loveseat",$269.99,56
934,"Uranian blue End Table",$39.99,40
935,"Magenta Storage Bench",$194.99,28
936,"Teal blue Bench",$114.99,51
937,"Turquoise Dining Chair",$89.99,3
938,"Wine red Loveseat",$269.99,68
939,"Raspberry Nightstand",$81.99,12
940,"Sunray gold Plant Stand",$42.99,14
941,"Opera mauve End Table",$39.99,71
942,"Titanium yellow End Table",$39.99,53
943,"Twilight lavender Reclining Loveseat","$1,023.99",36
944,"Dark sea green Ottoman",$52.99,39
945,"Saffron Loveseat",$269.99,83
946,"Sunray gold Coffee Table",$200,83
947,"Wild Strawberry Stool",$54.99,39
948,"Neon fuchsia Chaise Lounge",$235.99,82
949,"Dark salmon Dining Table",$800,73
950,"Cherry blossom pink Reclining Sofa","$1,119.99",18
951,"Laurel green Reclining Sofa","$1,119.99",15
952,"Tart Orange Plant Stand",$42.99,23
953,"Ming Sofa",$649.99,24
954,"Spanish sky blue Ottoman",$52.99,56
955,"Indian red Sleeper Sofa","$1,279.99",9
956,"Sea green Wardrobe",$719.99,73
957,"Thistle grey Dining Table",$800,100
958,"UP maroon Crib",$289,52
959,"Steel pink Dining Chair",$89.99,21
960,"French pink Sectional","$1,039.99",4
961,"Sap green Chaise Lounge",$235.99,31
962,"Antique ruby Sleeper Sofa","$1,279.99",89
963,"Parchment Reclining Sofa","$1,119.99",90
964,"Prussian blue Coffee Table",$200,67
965,"Star command blue Plant Stand",$42.99,14
966,"Electric green Reclining Loveseat","$1,023.99",0
967,"Spanish carmine Nightstand",$81.99,34
968,"Mardi Gras purple Nightstand",$81.99,55
969,"Mikado yellow Stool",$54.99,9
970,"Red-orange Plant Stand",$42.99,38
